,precision,recall,f1-score,support
Affiliate License-Licensor,0.0,0.0,0.0,9.0
No-Solicit Of Customers,0.0,0.0,0.0,9.0
Notice Period To Terminate Renewal,0.08333333333333333,0.08333333333333333,0.08333333333333333,24.0
Affiliate License-Licensee,0.07692307692307693,0.09523809523809523,0.0851063829787234,21.0
Irrevocable Or Perpetual License,0.1956521739130435,0.3,0.23684210526315788,30.0
Non-Transferable License,0.2786885245901639,0.2982456140350877,0.288135593220339,57.0
Competitive Restriction Exception,0.2916666666666667,0.30434782608695654,0.2978723404255319,23.0
Effective Date,0.35294117647058826,0.2926829268292683,0.32,82.0
Unlimited/All-You-Can-Eat-License,0.2857142857142857,0.4,0.3333333333333333,5.0
Uncapped Liability,0.3684210526315789,0.4666666666666667,0.4117647058823529,30.0
Renewal Term,0.40476190476190477,0.425,0.4146341463414634,40.0
License Grant,0.5277777777777778,0.3958333333333333,0.4523809523809524,144.0
Exclusivity,0.4861111111111111,0.44871794871794873,0.4666666666666667,78.0
Agreement Date,0.5333333333333333,0.5894736842105263,0.56,95.0
Non-Compete,0.5614035087719298,0.6956521739130435,0.6213592233009708,46.0
Joint Ip Ownership,0.6086956521739131,0.7,0.6511627906976745,20.0
Change Of Control,0.6511627906976745,0.6511627906976745,0.6511627906976745,43.0
Price Restrictions,0.75,0.6,0.6666666666666666,5.0
Volume Restriction,0.6666666666666666,0.7058823529411765,0.6857142857142857,34.0
Post-Termination Services,0.6781609195402298,0.7195121951219512,0.6982248520710059,82.0
Liquidated Damages,0.7272727272727273,0.6956521739130435,0.7111111111111111,23.0
Source Code Escrow,0.6470588235294118,0.8461538461538461,0.7333333333333333,13.0
Expiration Date,0.7647058823529411,0.7142857142857143,0.7386363636363636,91.0
Most Favored Nation,0.8333333333333334,0.7142857142857143,0.7692307692307693,7.0
Cap On Liability,0.8189655172413793,0.7480314960629921,0.7818930041152263,127.0
Ip Ownership Assignment,0.75,0.85,0.796875,60.0
Minimum Commitment,0.8378378378378378,0.775,0.8051948051948052,80.0
Rofr/Rofo/Rofn,0.84375,0.7714285714285715,0.8059701492537313,70.0
Non-Disparagement,0.7692307692307693,0.9090909090909091,0.8333333333333334,11.0
No-Solicit Of Employees,0.8125,0.8666666666666667,0.8387096774193549,15.0
Covenant Not To Sue,0.9259259259259259,0.78125,0.847457627118644,32.0
Warranty Duration,0.8108108108108109,0.9090909090909091,0.8571428571428571,33.0
Anti-Assignment,0.8629032258064516,0.8699186991869918,0.8663967611336032,123.0
Termination For Convenience,0.9473684210526315,0.8,0.8674698795180723,45.0
Revenue/Profit Sharing,0.8846153846153846,0.8734177215189873,0.8789808917197452,79.0
Audit Rights,0.9491525423728814,0.9105691056910569,0.9294605809128631,123.0
Third Party Beneficiary,1.0,0.875,0.9333333333333333,8.0
Insurance,0.9537037037037037,0.9626168224299065,0.958139534883721,107.0
Document Name,0.970873786407767,0.9615384615384616,0.966183574879227,104.0
Parties,0.9544592030360531,0.982421875,0.9682386910490857,512.0
Governing Law,0.9888888888888889,0.978021978021978,0.9834254143646409,91.0
