label,count
Parties,2560
License Grant,721
Cap On Liability,636
Anti-Assignment,616
Audit Rights,615
Insurance,535
Document Name,521
Agreement Date,474
Expiration Date,456
Governing Law,455
Post-Termination Services,411
Effective Date,411
Minimum Commitment,402
Revenue/Profit Sharing,397
Exclusivity,391
Rofr/Rofo/Rofn,351
Ip Ownership Assignment,297
Non-Transferable License,284
Non-Compete,228
Termination For Convenience,224
Change Of Control,213
Renewal Term,199
Volume Restriction,167
Warranty Duration,164
Covenant Not To Sue,161
Uncapped Liability,151
Irrevocable Or Perpetual License,150
Notice Period To Terminate Renewal,117
Liquidated Damages,114
Competitive Restriction Exception,113
Affiliate License-Licensee,104
Joint Ip Ownership,102
No-Solicit Of Employees,75
Source Code Escrow,63
Non-Disparagement,54
Affiliate License-Licensor,47
No-Solicit Of Customers,46
Third Party Beneficiary,41
Most Favored Nation,36
Unlimited/All-You-Can-Eat-License,27
Price Restrictions,26
